species_group,reef_pct,confidence,habitat_class,status
Snapper,90,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Scavenger,85,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Parrot Fish,90,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Surgeon Fish,85,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Unicorn Fish,85,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Rabbit Fish,80,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Rock Cod,90,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Goat Fish,80,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Grunter,80,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Barracudas,70,MEDIUM,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Milk Fish,20,MEDIUM,Coastal-pelagic/lagoon,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Cavalla Jacks,45,MEDIUM,Mixed reef/pelagic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Lobsters,90,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Beche-De-Mer,70,MEDIUM,Reef-associated/sandy,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Octopus,80,HIGH,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Squids,50,MEDIUM,Reef-associated (spawn),PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Cowries/Shells,70,MEDIUM,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Pouter,70,MEDIUM,Reef-associated,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Black Skin,90,HIGH,Reef-associated (Acanthuridae),PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Mixed Demersal,50,MEDIUM,Mixed reef/seagrass,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
King Fish,10,MEDIUM,Pelagic-neritic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Queen Fish,5,MEDIUM,Pelagic-neritic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Streaker,5,MEDIUM,Pelagic-neritic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Cat Fish,0,HIGH,Demersal/estuarine,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Prawns,0,HIGH,Demersal/estuarine,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Crabs,0,HIGH,Estuarine/seagrass,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Oysters,0,HIGH,Intertidal/mangrove,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Mullets,0,HIGH,Benthopelagic/estuarine,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Little Mackerels,0,HIGH,Pelagic-neritic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Bonitos/Tunas,0,HIGH,Pelagic-oceanic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Sail Fish,0,HIGH,Pelagic-oceanic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Dolphins,0,HIGH,Pelagic-oceanic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Sardines,0,HIGH,Pelagic-neritic,PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Sharks And Rays,20,LOW,Mixed (coastal-inshore dominated),PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Mixed Pelagic,0,MEDIUM,Pelagic (mixed),PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
Mixed Fish/Others,40,LOW,Mixed (pro-rata allocation),PROVISIONAL — pending Dr. Pascal Thoya validation (2026-03-16)
